date_month,sub_month,viewing_sub_count,total_hours_viewed,median_unique_title_count,average_title_view_count,average_hours_viewed
2022-11-01 00:00:00.000000,72,10711,150098.888204,3.0,3.7746452576549663,14.0122188391
2022-07-01 00:00:00.000000,35,26813,370329.821713,2.0,3.54434250764526,13.8110621956
2022-03-01 00:00:00.000000,70,20340,263714.676669,3.0,3.700850498992183,12.9646859382
2022-02-01 00:00:00.000000,24,61076,841549.466473,3.0,3.8466853316305647,13.7785003598
2022-08-01 00:00:00.000000,54,13617,187224.992730,3.0,3.631810838595976,13.7483472412
2023-01-01 00:00:00.000000,46,110715,1442061.596388,2.0,3.3911087828317497,13.0248708081
2023-01-01 00:00:00.000000,3,626858,10675948.881622,3.0,4.537473339299587,17.0308616158
2023-02-01 00:00:00.000000,59,14855,187709.170465,2.0,3.366114701130856,12.6352430308
2022-11-01 00:00:00.000000,30,114114,3237928.933887,3.0,4.162187267230426,28.3742622257
2023-01-01 00:00:00.000000,51,12724,197348.454452,3.0,3.9548098082364036,15.5099382625
2022-12-01 00:00:00.000000,85,6093,85046.504967,3.0,3.8788972760091895,13.9557769883
2022-08-01 00:00:00.000000,76,29573,422988.790118,3.0,3.7735510921755595,14.3027250327
2022-03-01 00:00:00.000000,19,155915,2331441.629285,3.0,4.107891428718028,14.9531903672
2022-06-01 00:00:00.000000,81,5513,65029.180493,2.0,3.5656510700036272,11.7934676266
2022-10-01 00:00:00.000000,1,1289308,22267251.674511,2.0,4.3157776762591435,17.2706866038
2022-07-01 00:00:00.000000,2,691374,11373809.265007,3.0,4.350113903453264,16.4509987561
2022-09-01 00:00:00.000000,6,467291,6243672.621096,2.0,3.445038648211397,13.3613942055
2022-11-01 00:00:00.000000,53,14891,208219.409233,3.0,3.765041633091593,13.9819640903
2022-01-01 00:00:00.000000,81,32556,438010.585656,3.0,3.89108333077372,13.4536531516
2022-07-01 00:00:00.000000,82,5329,63138.336014,2.0,3.3275797373358347,11.8458416537
2023-05-01 00:00:00.000000,8,278141,3406704.617226,2.0,3.183384745921148,12.2480769435
2023-01-01 00:00:00.000000,75,11987,166528.141627,3.0,3.6313813813813813,13.8912363720
2023-03-01 00:00:00.000000,64,10072,137338.810999,2.0,3.5428911834789516,13.6357040309
2022-03-01 00:00:00.000000,6,534734,6927129.553890,2.0,3.7791541604720096,12.9543223352
2023-02-01 00:00:00.000000,24,335392,3877566.087137,2.0,3.359524498126079,11.5612612283
2022-12-01 00:00:00.000000,77,11384,181691.757954,3.0,4.175669740887132,15.9588720206
2022-01-01 00:00:00.000000,80,11796,196993.605381,3.0,4.5032635415783675,16.6986187489
2022-10-01 00:00:00.000000,21,345101,4315515.981268,2.0,3.415482958661497,12.5050448310
2022-11-01 00:00:00.000000,29,148246,3275398.052044,2.0,3.679609030874149,22.0941945000
2022-06-01 00:00:00.000000,48,15340,195316.505885,2.0,3.5947461052082654,12.7316671589
2023-10-01 00:00:00.000000,42,57626,885772.443159,3.0,3.9741783222850797,15.3710554812
2024-04-01 00:00:00.000000,87,6785,73355.455998,2.0,3.544141488577745,10.8114157698
2023-07-01 00:00:00.000000,9,289093,4656107.295977,3.0,4.110569954997181,16.1059150376
2023-11-01 00:00:00.000000,3,465547,8169280.309341,3.0,4.349977553286779,17.5477026151
2023-12-01 00:00:00.000000,58,32647,400281.486826,3.0,3.859742089625387,12.2608964630
2023-06-01 00:00:00.000000,32,147504,2086909.398259,2.0,3.8076730122572946,14.1481546145
2024-02-01 00:00:00.000000,106,19696,187069.212337,2.0,3.0023354995938263,9.4978275963
2023-05-01 00:00:00.000000,69,5724,37568.427850,2.0,2.5786163522012577,6.5633172345
2024-03-01 00:00:00.000000,42,84521,1152789.628011,2.0,3.5804001372439984,13.6390912082
2023-07-01 00:00:00.000000,86,13601,158219.743738,2.0,3.459819130946254,11.6329493227
2023-12-01 00:00:00.000000,101,4525,51498.012367,3.0,3.896132596685083,11.3807762137
2024-01-01 00:00:00.000000,48,28294,425147.772969,2.0,3.67106100233265,15.0260752445
2023-09-01 00:00:00.000000,18,195561,2779653.682917,2.0,3.6010707656434566,14.2137424278
2023-05-01 00:00:00.000000,87,3794,23889.057790,2.0,2.65392725355825,6.2965360543
2023-09-01 00:00:00.000000,44,27886,368202.022810,2.0,3.594635300867819,13.2038306968
2024-05-01 00:00:00.000000,102,3007,35266.455436,3.0,3.528101097439308,11.7281195331
2023-06-01 00:00:00.000000,83,8348,101101.724954,2.0,3.7107091518926687,12.1108918249
2023-09-01 00:00:00.000000,54,71002,813464.613946,2.0,3.1647418382580774,11.4569253535
2023-07-01 00:00:00.000000,59,13897,176459.602021,2.0,3.711520472044326,12.6976759028
2023-07-01 00:00:00.000000,68,6594,81678.744884,2.0,3.672581134364574,12.3868281595
2024-02-01 00:00:00.000000,28,200261,2811737.455577,2.0,3.4476907635535627,14.0403646021
2023-05-01 00:00:00.000000,63,5615,37277.179983,2.0,2.6794300979519146,6.6388566310
2024-05-01 00:00:00.000000,13,171548,2750818.629296,2.0,3.718830881152797,16.0352707656
2024-02-01 00:00:00.000000,21,150168,2328848.241801,2.0,3.593328805071653,15.5082856654
2023-09-01 00:00:00.000000,41,57083,867912.187360,2.0,3.7197414291470317,15.2043898772
2024-01-01 00:00:00.000000,41,93491,1556136.356815,2.0,3.7252997614743664,16.6447717621
2024-02-01 00:00:00.000000,23,162543,2365677.328518,2.0,3.4604012476698474,14.5541630739
2023-09-01 00:00:00.000000,58,12525,153844.425116,2.0,3.3883433133732535,12.2829880332
2023-05-01 00:00:00.000000,70,10369,70580.581074,2.0,2.5859774327321823,6.8068840847
2023-07-01 00:00:00.000000,56,13969,177100.698397,2.0,3.695611711647219,12.6781228719
2024-05-01 00:00:00.000000,31,152086,2120464.592226,2.0,3.529937009323672,13.9425364085
