,date_month,sub_tenure_months,user_count,hours_viewed
1151,2022-05-01,17,1078609,21695049.239167
1152,2022-12-01,48,28015,550965.385000
1153,2023-05-01,23,417194,6967170.276833
1154,2023-12-01,1,2076202,55865496.286000
1155,2023-09-01,43,46963,834667.252667
1156,2023-08-01,90,7068,131238.924500
1157,2023-10-01,47,28977,550204.725500
1158,2022-03-01,-4,277,2895.701667
1159,2022-10-01,0,944936,4939588.414333
1160,2022-05-01,83,10402,145395.267500
1161,2022-07-01,6,1215349,20110907.152500
1162,2023-05-01,22,427664,7710533.526333
1163,2022-12-01,52,20534,423478.577000
1164,2023-01-01,58,17813,314516.864000
1165,2023-08-01,37,160699,3746390.429000
1166,2022-07-01,78,7257,100630.967167
1167,2023-09-01,24,546907,11616064.306500
1168,2023-11-01,50,22141,427409.771833
1169,2023-11-01,20,294185,6048893.020833
1170,2023-06-01,74,10717,191025.687333
1171,2024-02-01,68,12813,254893.820833
1172,2022-02-01,22,234474,4759373.264500
1173,2022-10-01,12,671392,10827573.350167
1174,2022-09-01,11,695674,11949782.446833
1175,2022-10-01,40,37974,601230.452667
1176,2023-03-01,46,54604,828359.770667
1177,2022-01-01,75,7266,133176.527167
1178,2022-11-01,80,18695,236632.036833
1179,2023-08-01,21,475873,8895131.289333
1180,2023-08-01,22,401644,7981689.934500
1181,2023-08-01,97,5650,97919.559500
1182,2023-07-01,76,10163,188967.410500
1183,2023-09-01,63,13117,246303.587500
1184,2023-10-01,32,377289,7678186.571167
1185,2024-02-01,105,8789,159479.821500
1186,2024-01-01,77,16194,362384.121500
1187,2024-02-01,85,9143,174951.087167
1188,2022-05-01,-2,535,5695.071000
1189,2022-02-01,5,1356128,26196139.307333
1190,2023-03-01,6,928980,15831201.133167
1191,2022-10-01,62,21387,342313.623500
1192,2022-12-01,45,126805,2172664.715000
1193,2022-06-01,48,16422,254458.069667
1194,2022-07-01,26,306427,7606615.550000
1195,2022-04-01,52,12235,207702.410333
1196,2023-02-01,92,9168,133260.595833
1197,2022-04-01,64,11943,198646.486667
1198,2023-11-01,22,515522,10661122.600167
1199,2023-10-01,23,430364,7968041.977500
1200,2023-09-01,8,580530,12065921.412333
1201,2024-03-01,0,2280,8074.355333
1202,2024-03-01,26,128245,370622.234167
1203,2023-09-01,44,36363,740527.707500
1204,2023-06-01,42,34240,668569.070667
1205,2023-09-01,83,10913,187235.612000
1206,2023-04-01,90,6078,94925.302500
1207,2024-02-01,43,138409,3243341.310833
1208,2024-01-01,23,310358,7167289.323667
1209,2023-10-01,50,24873,483544.459500
1210,2023-12-01,105,22298,417441.436500
1211,2024-03-01,59,34025,92669.477667
1212,2022-04-01,83,11331,175986.358500
1213,2023-11-01,1,1967261,43818803.256000
1214,2023-07-01,40,73439,1657361.620500
1215,2023-06-01,2,899061,19960338.228167
1216,2023-06-01,97,9320,162625.248667
1217,2024-01-01,9,450759,10346316.351500
1218,2024-03-01,77,2019,5397.983500
1219,2022-03-01,35,156291,2908725.153833
1220,2022-03-01,68,13571,221479.579167
1221,2023-02-01,53,13529,253143.145000
1222,2023-03-01,20,467793,8757759.006500
1223,2023-03-01,5,988673,16620978.077167
1224,2022-04-01,41,19794,339411.927333
1225,2022-12-01,31,287204,8404278.704000
1226,2023-04-01,3,1150523,22320999.795667
1227,2023-09-01,12,586315,11287783.561167
1228,2023-09-01,7,517674,10685070.060833
1229,2023-06-01,63,15360,266474.130167
1230,2024-03-01,8,89418,282608.030000
1231,2022-07-01,22,262201,4626241.113500
1232,2023-05-01,18,554689,8698004.367667
1233,2022-07-01,51,18707,310573.695500
1234,2022-07-01,81,6223,86414.454000
1235,2023-04-01,78,12434,192753.234000
1236,2024-03-01,10,105385,327342.648500
1237,2023-07-01,44,30689,609432.662667
1238,2023-06-01,65,11139,217693.957167
1239,2023-12-01,65,16836,353571.236000
1240,2023-10-01,79,9690,173140.124500
1241,2023-10-01,85,9735,174731.167667
1242,2023-02-01,58,17657,330585.737167
1243,2022-06-01,17,600722,10125748.364000
1244,2023-06-01,3,758555,16358074.265667
1245,2023-05-01,60,14688,243002.450833
1246,2024-03-01,40,41677,127148.589833
1247,2022-10-01,7,654757,10656386.320167
1248,2023-01-01,21,632483,12692998.412167
1249,2022-10-01,59,11935,200584.668333
1250,2022-05-01,0,869482,4873955.257000
1251,2023-03-01,55,19606,345252.340667
1252,2022-10-01,70,11683,178100.847500
1253,2022-07-01,27,219558,4348052.948000
1254,2023-04-01,27,453963,9037490.954667
1255,2023-05-01,35,199204,4021391.926333
1256,2022-08-01,72,11122,178891.390167
1257,2022-05-01,43,15753,259531.098500
1258,2023-08-01,15,308498,6810782.608333
1259,2022-06-01,58,20244,315892.690500
1260,2023-04-01,47,49070,800529.051833
1261,2022-08-01,80,7229,117615.634167
1262,2024-03-01,38,91220,276093.640333
1263,2024-01-01,14,487701,11828260.904667
1264,2023-11-01,75,16133,316853.336500
1265,2024-01-01,66,16471,370965.857000
1266,2023-12-01,103,9055,169563.209333
1267,2023-02-01,5,936820,16286082.985500
1268,2022-01-01,64,12729,249854.008167
1269,2023-03-01,12,493681,8820400.320167
1270,2023-03-01,27,833975,18725456.023500
1271,2022-06-01,28,63292,935603.521333
1272,2023-03-01,73,10804,176170.970833
1273,2022-07-01,55,11230,178494.440667
1274,2023-04-01,83,18999,291906.737667
1275,2023-06-01,25,406382,10453511.447000
1276,2024-02-01,63,14301,282279.714833
1277,2023-12-01,102,7660,129620.768500
1278,2023-02-01,-3,85,264.148000
1279,2023-01-01,7,540710,11063113.037000
1280,2022-02-01,27,42833,775456.977000
1281,2023-04-01,39,44275,841431.838500
1282,2024-02-01,29,481322,10651510.275333
1283,2024-02-01,21,241959,5294843.177000
1284,2023-08-01,18,360754,7439759.426000
1285,2023-09-01,2,750605,17800254.923833
1286,2023-06-01,15,361987,7167921.921500
1287,2023-10-01,84,11339,190921.329667
1288,2023-11-01,79,9733,181572.862333
1289,2023-12-01,56,109610,2373061.870000
1290,2024-03-01,81,2548,6789.179167
1291,2024-03-01,90,1673,4176.797000
1292,2022-09-01,8,1141557,19733092.625167
1293,2023-01-01,19,489741,9334015.912500
1294,2022-01-01,72,8582,158584.420833
1295,2022-02-01,26,46134,837615.656333
1296,2022-12-01,1,2290820,60560713.544500
1297,2022-06-01,26,215753,3990443.079333
1298,2023-05-01,28,452098,8415919.507667
1299,2023-05-01,55,13920,217017.373667
1300,2023-10-01,13,476771,9390651.047167
1301,2022-12-01,47,36277,754344.884833
1302,2022-12-01,58,13914,276690.101667
1303,2023-08-01,24,521522,9803660.467000
1304,2023-12-01,32,400636,8926559.673500
1305,2023-12-01,18,270374,5964983.538833
1306,2023-04-01,94,9238,133426.980833
1307,2024-03-01,36,104540,325734.961333
1308,2023-11-01,62,10993,225993.760500
1309,2024-02-01,100,4856,84968.081333
1310,2024-03-01,75,1806,4794.331333
1311,2023-04-01,-9,1,1.315167
1312,2023-05-01,-5,5,8.081333
1313,2022-09-01,-14,1,1.772833
1314,2022-08-01,-17,1,0.722167
1315,2022-03-01,84,27004,400872.318833
