,market,hours_viewed_bin,churn,hbo_uuid,is_cancel
111,Spain,3.7715,0.0916030534351145,6157,564
113,Spain,3.9290000000000003,0.09330867518493612,5948,555
115,Spain,4.0855,0.09317424109492893,5699,531
117,Spain,4.235,0.09019832189168574,5244,473
119,Spain,4.393000000000001,0.0890875972843186,6039,538
121,Spain,4.5715,0.08888532991672005,6244,555
123,Spain,4.76,0.08889596941213956,6277,558
125,Spain,4.9544999999999995,0.08333333333333333,6108,509
128,Spain,5.1575,0.08500077555452148,6447,548
130,Spain,5.3755,0.08995344646343295,6659,599
132,Spain,5.6065000000000005,0.08271347813150848,6722,556
134,Spain,5.848000000000001,0.08490566037735849,6784,576
136,Spain,6.0975,0.07920360412730708,6881,545
138,Spain,6.358499999999999,0.08148360303594443,6983,569
140,Spain,6.632,0.08248009101251422,7032,580
142,Spain,6.9145,0.07911839502684374,7078,560
144,Spain,7.2085,0.08057880550432686,7049,568
146,Spain,7.513,0.08345080349591204,7094,592
148,Spain,7.828,0.0771380659586361,7156,552
150,Spain,8.1575,0.08126568162810148,7174,583
152,Spain,8.501999999999999,0.0801658604008293,7235,580
154,Spain,8.858,0.0855534193902774,7282,623
156,Spain,9.228,0.07470870459218643,7295,545
158,Spain,9.619,0.08045509955302722,7383,594
160,Spain,10.030999999999999,0.07751519243754221,7405,574
162,Spain,10.461500000000001,0.08020454851298614,7431,596
164,Spain,10.911000000000001,0.07429182255478353,7484,556
166,Spain,11.383500000000002,0.07543649206983873,7503,566
168,Spain,11.879999999999999,0.07702523240371846,7530,580
170,Spain,12.399,0.07803391626921038,7548,589
172,Spain,12.943999999999999,0.07350019864918554,7551,555
174,Spain,13.5215,0.07174770039421813,7610,546
176,Spain,14.135,0.07179487179487179,7605,546
178,Spain,14.786,0.07361238682587587,7621,561
180,Spain,15.477,0.07457404980340761,7630,569
182,Spain,16.195500000000003,0.07294394971189104,7636,557
184,Spain,16.941000000000003,0.07452521283562541,7635,569
186,Spain,17.733,0.076138147566719,7644,582
188,Spain,18.570999999999998,0.0700562018036858,7651,536
190,Spain,19.4595,0.07446113651208361,7655,570
192,Spain,20.411,0.07140992167101827,7660,547
194,Spain,21.408,0.0701983298538622,7664,538
196,Spain,22.472,0.07121429503065084,7667,546
198,Spain,23.6045,0.07396295330028699,7666,567
200,Spain,24.79,0.06713596662755833,7671,515
202,Spain,26.073999999999998,0.06936114732724902,7670,532
204,Spain,27.4585,0.06970684039087947,7675,535
206,Spain,28.9085,0.06962190352020861,7670,534
208,Spain,30.4615,0.06439838352235693,7671,494
210,Spain,32.138,0.06958561376075059,7674,534
212,Spain,33.945,0.06268734523654372,7673,481
214,Spain,35.911500000000004,0.0600729736773521,7674,461
216,Spain,38.047,0.06332247557003258,7675,486
217,Spain,40.3945,0.06201146430432517,7676,476
218,Spain,42.988,0.060854834506124576,7674,467
220,Spain,45.8625,0.06332247557003258,7675,486
222,Spain,49.164,0.059022801302931596,7675,453
224,Spain,53.0415,0.058884835852006254,7676,452
225,Spain,57.566,0.05784262636789995,7676,444
1,Portugal,0.1405,0.1974169741697417,542,107
4,Portugal,0.173,0.19029126213592232,515,98
6,Portugal,0.2155,0.18976545842217485,469,89
9,Portugal,0.26949999999999996,0.16632443531827515,487,81
11,Portugal,0.3205,0.17373737373737375,495,86
14,Portugal,0.3655,0.1792717086834734,357,64
16,Portugal,0.4135,0.1462882096069869,458,67
19,Portugal,0.46399999999999997,0.15565031982942432,469,73
21,Portugal,0.5215000000000001,0.166015625,512,85
24,Portugal,0.5900000000000001,0.1865079365079365,504,94
27,Portugal,0.65,0.16274089935760172,467,76
30,Portugal,0.7015,0.17142857142857143,525,90
32,Portugal,0.75,0.17547568710359407,473,83
35,Portugal,0.7965,0.15065913370998116,531,80
38,Portugal,0.8485,0.1592128801431127,559,89
40,Portugal,0.901,0.18370883882149047,577,106
43,Portugal,0.9475,0.18904593639575973,566,107
45,Portugal,0.9969999999999999,0.20430107526881722,558,114
47,Portugal,1.0539999999999998,0.15955473098330242,539,86
49,Portugal,1.1135,0.14256198347107438,484,69
51,Portugal,1.1804999999999999,0.14954954954954955,555,83
53,Portugal,1.2585000000000002,0.1651376146788991,545,90
55,Portugal,1.341,0.17625899280575538,556,98
57,Portugal,1.4264999999999999,0.13493530499075784,541,73
59,Portugal,1.5205000000000002,0.14857142857142858,525,78
61,Portugal,1.6165,0.16091954022988506,522,84
63,Portugal,1.703,0.15673289183222958,453,71
65,Portugal,1.7895,0.16793893129770993,524,88
67,Portugal,1.885,0.1534195933456562,541,83
69,Portugal,1.9874999999999998,0.1254681647940075,534,67
71,Portugal,2.0955,0.1676190476190476,525,88
73,Portugal,2.208,0.1482889733840304,526,78
75,Portugal,2.3245,0.1794871794871795,546,98
77,Portugal,2.444,0.17222222222222222,540,93
79,Portugal,2.5694999999999997,0.141804788213628,543,77
81,Portugal,2.7015000000000002,0.12267657992565056,538,66
83,Portugal,2.842,0.15977443609022557,532,85
85,Portugal,2.9939999999999998,0.17391304347826086,506,88
