Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person
Do not use 3833,GXrQ9dQNvd45awgEAAAH-,GXrQ9dQNvd45awgEAAAH-,,,,title,MORE AMERICAN GRAFFITI,Movies Acquired,UNIVERSAL,Committed,7/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Joe
Do not use 5257,GXrQ9dQNvd45awgEAAAH-,GXrQ9dQNvd45awgEAAAH-,,,,title,MORE AMERICAN GRAFFITI,Movies Acquired,UNI,Committed,,,,,HBO Acquired,2020,,,11/3/23,0,Joe
MAX-AQ-004747,,,,,,,"Pelican Brief, The",Movies Acquired,WB,Committed,6/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng
Do not use 1563,GYz3pwwP1W5-QwgEAAAAf,GYz3pwwP1W5-QwgEAAAAf,,,,title,MORRIS FROM AMERICA,Movies Acquired,A24,Committed,11/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Joe
MAX-AQ-004746,,,,,,,"Pelican Brief, The",Movies Acquired,WB,Committed,1/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng
MAX-AQ-007749,,,,,,,"Pelican Brief, The",Movies Acquired,WB,Committed,11/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Mei-Cheng
MAX-AQ-000639,,,,,,,"Pelican Brief, The",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Mei-Cheng
818557,GYGYKfQwaKLheqwEAAAEC,GYGYKfQwaKLheqwEAAAEC,,,,title,MORTAL KOMBAT,Movies Acquired,WARNER BROS.,Committed,9/9/21,,,,HBO Acquired,2021,,,11/3/23,0,Joe
Do not use 1327,GYGYKfQwaKLheqwEAAAEC,GYGYKfQwaKLheqwEAAAEC,,,,title,MORTAL KOMBAT,Movies Acquired,INTERCOMPANY,Committed,3/9/29,,,,HBO Acquired,2029,,,11/3/23,0,Joe
MAX-AQ-002684,,,,,,,"Pelican Brief, The",Movies Acquired,WB,Committed,1/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng
Do not use 4392,GYF42IQ826QaavQEAAADP,GYF42IQ826QaavQEAAADP,,,,title,MOSCOW ON THE HUDSON,Movies Acquired,SONY,Committed,4/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Joe
MAX-AQ-003122,,,,,,,"Pelican Brief, The",Movies Acquired,WB,Committed,11/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng
812321,GXrR0JArE6Y5awgEAAAMQ,GXrR0JArE6Y5awgEAAAMQ,,,,title,MOTHERLESS BROOKLYN,Movies Acquired,WARNER BROS.,Committed,7/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Joe
Do not use 1316,GXrR0JArE6Y5awgEAAAMQ,GXrR0JArE6Y5awgEAAAMQ,,,,title,MOTHERLESS BROOKLYN,Movies Acquired,INTERCOMPANY,Committed,1/1/28,,,,HBO Acquired,2028,,,11/3/23,0,Joe
