,Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person
23,MAX-AQ-004529,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,6/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
24,MAX-AQ-005222,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,5/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
25,MAX-AQ-004027,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,3/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
26,MAX-AQ-003942,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,11/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
27,MAX-AQ-003941,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,9/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
28,MAX-AQ-001131,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900.0,,,11/3/23,0,Tiffany
29,MAX-AQ-006216,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,5/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
30,MAX-AQ-003049,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,3/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
31,MAX-AQ-004530,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,10/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
32,MAX-AQ-003117,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,10/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
33,MAX-AQ-003622,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,9/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
34,MAX-AQ-003623,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,11/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
35,MAX-AQ-003813,GYC6ZiwvKE8LCMQEAAAAG,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,12/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
36,MAX-AQ-000819,GXt50cgXlXcJHjQEAAAsJ,,,,,,"Green Pastures, The",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900.0,,,11/3/23,0,Tiffany
37,MAX-OP-000264,GZC2nUQuQLJSgigEAABQi,,,,,,Gremlins: Secrets of the Mogwai S1,Kids Content Original,WB,Committed,,,DTC1014,Yes,Max OP,2023.0,,,11/3/23,0,Tiffany
38,MAX-OP-000436,GZC2nUQuQLJSgigEAABQi,,,,,,Gremlins: Secrets of the Mogwai S2A,Kids Content Original,WB,Committed,,,HKF0009,Yes,Max OP,2024.0,,,11/3/23,0,Tiffany
39,MAX-OP-001005,GZC2nUQuQLJSgigEAABQi,,,,,,Gremlins: Secrets of the Mogwai S2B,Kids Content Original,WB,Committed,,,GREMLINS2B,Yes,Max OP,2025.0,,,11/3/23,0,Tiffany
40,MAX-OP-000896,GZC2nUQuQLJSgigEAABQi,,,,,,Gremlins: Secrets of the Mogwai S3 / TBD Series,Kids Content Original,WB,Uncommitted,,,GREMLINS3,Yes,Max OP,2025.0,,,11/3/23,0,Tiffany
41,MAX-AQ-001134,GYGMCbQJkX8PCDAEAAAAK,,,,,,Greystoke: The Legend of Tarzan,Movies Acquired,WB,Committed,,,,No,Max Acquired,1900.0,,,11/3/23,0,Tiffany
42,MAX-AQ-007843,GX-Tu4ge5qAexgwEAAABd,,,,,,"Grim Adventures of Billy & Mandy, The",Kids Content Acquired,CN,Committed,1/1/24,,,Yes,Max Acquired,2024.0,,,11/3/23,0,Tiffany
43,MAX-AQ-007859,GX-Tu4ge5qAexgwEAAABd,,,,,,"Grim Adventures of Billy & Mandy, The",Kids Content Acquired,CN,Uncommitted,1/1/25,,,Yes,Max Acquired,2025.0,,,11/3/23,0,Tiffany
44,MAX-AQ-007315,GX-Tu4ge5qAexgwEAAABd,,,,,,"Grim Adventures of Billy & Mandy, The",Kids Content Acquired,CN,Uncommitted,1/1/26,,,Yes,Max Acquired,2026.0,,,11/3/23,0,Tiffany
45,MAX-AQ-001978,GX-Tu4ge5qAexgwEAAABd,,,,,,"Grim Adventures of Billy and Mandy, The",Kids Content Acquired,CN,Committed,1/1/21,,,Yes,Max Acquired,2021.0,,,11/3/23,0,Tiffany
46,MAX-AQ-002202,GYVlC5wiHLUSdNAEAAABB,,,,,,Gumball - Darwin's Yearbook,Kids Content Acquired,CN,Committed,11/1/21,,,Yes,Max Acquired,2021.0,,,11/3/23,0,Tiffany
47,MAX-AQ-006233,GXt509QQlasPCwgEAAAma,,,,,,"Guy Named Joe, A",Movies Acquired,WB,Committed,2/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
48,MAX-AQ-000821,GXt509QQlasPCwgEAAAma,,,,,,"Guy Named Joe, A",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900.0,,,11/3/23,0,Tiffany
49,MAX-OP-000105,GXjma0Qt1YY7CZgEAAA14,,,,,,Hacks S1,Comedy Series Original,UNIVERSAL TV,Committed,,,DTC1216,No,Max OP,2021.0,,,11/3/23,0,Tiffany
50,MAX-OP-000105,GYIBToQrPdotpNQEAAAEa,,,,,,Hacks S1,Comedy Series Original,UNIVERSAL TV,Committed,,,DTC1216,No,Max OP,2021.0,,,11/3/23,0,Tiffany
51,MAX-OP-000216,GXjma0Qt1YY7CZgEAAA14,,,,,,Hacks S2,Comedy Series Original,UNIVERSAL TV,Committed,,,DTC1260,No,Max OP,2022.0,,,11/3/23,0,Tiffany
52,MAX-OP-000216,GYIBToQrPdotpNQEAAAEa,,,,,,Hacks S2,Comedy Series Original,UNIVERSAL TV,Committed,,,DTC1260,No,Max OP,2022.0,,,11/3/23,0,Tiffany
53,MAX-OP-000380,GXjma0Qt1YY7CZgEAAA14,,,,,,Hacks S3,Comedy Series Original,UNIVERSAL TV,Committed,,,DTC1354,No,Max OP,2024.0,,,11/3/23,0,Tiffany
54,MAX-OP-000380,GYIBToQrPdotpNQEAAAEa,,,,,,Hacks S3,Comedy Series Original,UNIVERSAL TV,Committed,,,DTC1354,No,Max OP,2024.0,,,11/3/23,0,Tiffany
55,MAX-AQ-006238,GXjtShwFsq47CZgEAABBq,,,,,,Hairspray (Musical Remake),Movies Acquired,WB,Committed,6/1/23,,,No,Max Acquired,2023.0,,,11/3/23,0,Tiffany
56,MAX-AQ-000510,GXjtShwFsq47CZgEAABBq,,,,,,Hairspray (Musical Remake),Movies Acquired,WB,Committed,,,,No,Max Acquired,1900.0,,,11/3/23,0,Tiffany
57,MAX-AQ-001138,GXjtShwFsq47CZgEAABBq,,,,,,Hairspray (Musical Remake),Movies Acquired,WB,Committed,,,,No,Max Acquired,1900.0,,,11/3/23,0,Tiffany
58,MAX-AQ-002612,GXjtShwFsq47CZgEAABBq,,,,,,Hairspray (Musical Remake),Movies Acquired,WB,Committed,1/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
59,MAX-AQ-003091,GXjtShwFsq47CZgEAABBq,,,,,,Hairspray (Musical Remake),Movies Acquired,WB,Committed,10/1/21,,,No,Max Acquired,2021.0,,,11/3/23,0,Tiffany
60,MAX-AQ-003379,GXjtShwFsq47CZgEAABBq,,,,,,Hairspray (Musical Remake),Movies Acquired,WB,Committed,6/1/22,,,No,Max Acquired,2022.0,,,11/3/23,0,Tiffany
