,Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person,search_title
4390,MAX-AQ-001720,,,,,,,Other Parents Season 2,International Content Acquired,TURNER BROADCASTING SYSTEM DEUTSCHLAND GMBH,Committed,4/14/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,Other Parents
4391,MAX-OP-000192,,,,,,,Our Flag Means Death S1,Comedy Series Original,MAX,Committed,,,DTC1134,No,Max OP,2022,,,11/3/23,0,Mei-Cheng,Our Flag
4392,MAX-OP-000408,,,,,,,Our Flag Means Death S2,Comedy Series Original,MAX,Committed,,,DTC1247,No,Max OP,2023,,,11/3/23,0,Mei-Cheng,Our Flag
4516,MAX-OP-000550,,,,,,,Our Flag Means Death S3 / TBD Multicam,Comedy Series Original,MAX,Uncommitted,,,DTC1398,No,Max OP,2025,,,11/3/23,0,Mei-Cheng,Our Flag
4533,MAX-AQ-005385,,,,,,,"Outfit, The",Movies Acquired,WB,Committed,9/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,Outfit
4534,MAX-AQ-006574,,,,,,,"Outlaw Josey Wales, The",Movies Acquired,WB,Committed,6/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Mei-Cheng,Outlaw Josey Wales
4615,MAX-AQ-001473,,,,,,,Output Year 2 Q1,Adult Animation Acquired,"ELLATION, INC.",Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Mei-Cheng,Output Year
4628,MAX-AQ-001476,,,,,,,Output year 2 Q4,Adult Animation Acquired,"ELLATION, INC.",Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Mei-Cheng,Output year
4632,MAX-AQ-000637,,,,,,,"Outsiders, The",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Mei-Cheng,Outsiders
4640,MAX-AQ-002345,,,,,,,Oy to the World Special,Movies Acquired,SONY PICTURES TELEVISION INC.,Committed,4/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Mei-Cheng,Oy to
4670,777659,,,,,,,PACIFIC RIM: UPRISING,Movies Acquired,UNIVERSAL,Committed,11/17/18,,,,HBO Acquired,2018,,,11/3/23,0,Mei-Cheng,PACIFIC RIM: UPRISING
4678,Do not use 4484,,,,,,,PANIC ROOM,Movies Acquired,SONY - APPROVED  - ('24/'25 AVAILS),Committed,7/1/24,,,,HBO Acquired,2024,,,11/3/23,0,Mei-Cheng,PANIC ROOM
4680,Do not use 2048,,,,,,,PAPER HEART,Movies Acquired,LIONS GATE,Committed,3/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Mei-Cheng,PAPER HEART
4712,Do not use 749,,,,,,,PARA ROSA (AKA FOR ROSA),Movies Acquired,3RD PARTY,Committed,5/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Mei-Cheng,PARA ROSA
4731,MAX-AQ-000146,,,,,,,"PARALLAX VIEW, THE",Movies Acquired,PARAMOUNT PICTURES,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Mei-Cheng,PARALLAX VIEW
4736,Do not use 3546,,,,,,,PARANORMAL ACTIVITY,Movies Acquired,PARAMOUNT,Committed,12/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,PARANORMAL ACTIVITY
4754,Do not use 3547,,,,,,,PARANORMAL ACTIVITY 2,Movies Acquired,PARAMOUNT,Committed,12/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,PARANORMAL ACTIVITY
4756,Do not use 3548,,,,,,,PARANORMAL ACTIVITY 3,Movies Acquired,PARAMOUNT,Committed,12/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,PARANORMAL ACTIVITY
4781,Do not use 3549,,,,,,,PARANORMAL ACTIVITY 4,Movies Acquired,PARAMOUNT,Committed,12/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,PARANORMAL ACTIVITY
4830,Do not use 3552,,,,,,,PARANORMAL ACTIVITY: THE MARKED ONES,Movies Acquired,PARAMOUNT,Committed,12/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,PARANORMAL ACTIVITY
4842,Do not use 4459,,,,,,,PARIS CAN WAIT,Movies Acquired,SONY,Committed,9/23/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,PARIS CAN WAIT
4857,Do not use 3979,,,,,,,PASSPORT TO PARIS,Movies Acquired,WARNER BROS.,Committed,,,,,HBO Acquired,,,,11/3/23,0,Mei-Cheng,PASSPORT TO PARIS
4883,Do not use 2948,,,,,,,PATHOLOGY,Movies Acquired,MGM,Committed,11/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,PATHOLOGY
7200,Do not use 5557,,,,,,,PATRIA 01-08,Movies Acquired,INTERCOM,Committed,9/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Mei-Cheng,PATRIA 01-08
7283,Do not use 3544,,,,,,,PATRIOT GAMES,Movies Acquired,PARAMOUNT,Committed,12/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,PATRIOT GAMES
7284,Do not use 889,,,,,,,PATTI CAKE$,Movies Acquired,3RD-PARTY,Committed,11/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Mei-Cheng,PATTI CAKE$
7288,Do not use 1698,,,,,,,PATTON,Movies Acquired,FOX,Committed,4/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Mei-Cheng,PATTON
7482,MAX-AQ-004299,,,,,,,PAUL BLART: MALL COP,Movies Acquired,SONY PICTURES TELEVISION INC.,Committed,6/1/24,,,No,Max Acquired,2024,,,11/3/23,0,Mei-Cheng,mall cop
7494,MAX-AQ-004300,,,,,,,PAUL BLART: MALL COP 2,Movies Acquired,SONY PICTURES TELEVISION INC.,Committed,6/1/24,,,No,Max Acquired,2024,,,11/3/23,0,Mei-Cheng,mall cop
7507,Do not use 2436,,,,,,,PAWN,Movies Acquired,LIONS GATE,Committed,8/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Mei-Cheng,PAWN
