,Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person,search_title
4986,MAX-AQ-006208,,,,,,,"Great Gatsby, The",Movies Acquired,WB,Committed,2/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Tiffany,Great Gatsby
4987,HBO-OP-000849,,,,,,,Great Photo Lovely Life,Documentary Feature Original,,Committed,,,WCF-10023087,No,HBO OP,2023,,,11/3/23,0,Tiffany,Great Photo Lovely Life
4988,MAX-AQ-001638,,,,,,,Great Pottery Throwdown Season 1-3 (S5 Fee Bump),Unscripted Acquired,LOVE PRODUCTIONS,Committed,4/14/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Great Pottery
4989,MAX-AQ-001637,,,,,,,Great Pottery Throwdown Season 4,Unscripted Acquired,LOVE PRODUCTIONS,Committed,4/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Tiffany,Great Pottery
4990,MAX-AQ-001639,,,,,,,Great Pottery Throwdown Season 5,Unscripted Acquired,LOVE PRODUCTIONS,Committed,4/14/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Great Pottery
4991,MAX-AQ-005784,,,,,,,Great Pottery Throwdown Season 6,Movies Acquired,LOVE PRODUCTIONS,Uncommitted,10/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Tiffany,Great Pottery
4992,MAX-AQ-001636,,,,,,,Great Pottery Throwdown Seasons 1-3,Unscripted Acquired,LOVE PRODUCTIONS,Committed,9/17/20,,,No,Max Acquired,2020,,,11/3/23,0,Tiffany,Great Pottery
4993,MAX-AQ-005326,,,,,,,"Great Race, The",Movies Acquired,WB,Committed,2/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Great Race
4994,MAX-AQ-006209,,,,,,,"Great Race, The",Movies Acquired,WB,Committed,4/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Tiffany,Great Race
4995,MAX-AQ-002827,,,,,,,"Great Santini, The",Movies Acquired,WB,Committed,10/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Tiffany,Great Santini
4996,MAX-AQ-003366,,,,,,,"Great Ziegfeld, The",Movies Acquired,WB,Committed,1/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Great Ziegfeld
4997,MAX-AQ-006210,,,,,,,"Great Ziegfeld, The",Movies Acquired,WB,Committed,1/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Tiffany,Great Ziegfeld
4998,MAX-OP-000987,,,,,,,Greatest Space S1,"Development, Overall Deals, Other",,Committed,,,DTC1034,No,Max OP,2021,,,11/3/23,0,Tiffany,Greatest Space
4999,MAX-AQ-002828,,,,,,,"Green Berets, The",Movies Acquired,WB,Committed,10/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Tiffany,Green Berets
5000,MAX-AQ-005327,,,,,,,"Green Berets, The",Movies Acquired,WB,Committed,9/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Green Berets
5007,MAX-AQ-003090,,,,,,,Green Lantern (2011),Movies Acquired,WB,Committed,9/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Tiffany,Green Lantern
5008,MAX-AQ-001128,,,,,,,Green Lantern (2011),Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Tiffany,Green Lantern
5009,MAX-AQ-003202,,,,,,,Green Lantern (2011),Movies Acquired,WB,Committed,6/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Tiffany,Green Lantern
5010,MAX-AQ-006976,,,,,,,Green Lantern (2011),Movies Acquired,WB,Uncommitted,12/23/24,,,No,Max Acquired,2024,,,11/3/23,0,Tiffany,Green Lantern
5011,MAX-AQ-006211,,,,,,,Green Lantern (2011),Movies Acquired,WB,Committed,1/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Tiffany,Green Lantern
5012,MAX-AQ-003367,,,,,,,Green Lantern (2011),Movies Acquired,WB,Committed,6/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Green Lantern
5013,MAX-AQ-003812,,,,,,,Green Lantern (2011),Movies Acquired,WB,Committed,12/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Green Lantern
5014,MAX-AQ-004522,,,,,,,Green Lantern (2011),Movies Acquired,WB,Committed,1/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Green Lantern
5015,MAX-AQ-004523,,,,,,,Green Lantern (2011),Movies Acquired,WB,Committed,9/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Green Lantern
5016,MAX-AQ-004026,,,,,,,Green Lantern (2011),Movies Acquired,WB,Committed,2/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Green Lantern
5033,MAX-AQ-006215,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,4/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Tiffany,Green Mile
5034,MAX-AQ-004529,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,6/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Green Mile
5035,MAX-AQ-005222,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,5/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Green Mile
5036,MAX-AQ-004027,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,3/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Green Mile
5037,MAX-AQ-003942,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,11/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Green Mile
5038,MAX-AQ-003941,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,9/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Green Mile
5039,MAX-AQ-001131,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Tiffany,Green Mile
5040,MAX-AQ-006216,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,5/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Tiffany,Green Mile
5041,MAX-AQ-003049,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,3/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Tiffany,Green Mile
5042,MAX-AQ-004530,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,10/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,Green Mile
5043,MAX-AQ-003117,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,10/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Tiffany,Green Mile
5044,MAX-AQ-003622,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,9/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Tiffany,Green Mile
5045,MAX-AQ-003623,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,11/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Tiffany,Green Mile
5046,MAX-AQ-003813,,,,,,,"Green Mile, The",Movies Acquired,WB,Committed,12/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Tiffany,Green Mile
5047,MAX-AQ-000819,,,,,,,"Green Pastures, The",Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Tiffany,Green Pastures
5048,MAX-AQ-007444,,,,,,,Greenlight German Genius - HBOMax,International Content Original,HBO INT. - SERIES,Committed,5/23/23,,,No,Max Acquired,2023,,,11/3/23,0,Tiffany,Greenlight German
5089,MAX-OP-000264,,,,,,,Gremlins: Secrets of the Mogwai S1,Kids Content Original,WB,Committed,,,DTC1014,Yes,Max OP,2023,,,11/3/23,0,Tiffany,Secrets of the Mogwai
5090,MAX-OP-000436,,,,,,,Gremlins: Secrets of the Mogwai S2A,Kids Content Original,WB,Committed,,,HKF0009,Yes,Max OP,2024,,,11/3/23,0,Tiffany,Secrets of the Mogwai
5091,MAX-OP-001005,,,,,,,Gremlins: Secrets of the Mogwai S2B,Kids Content Original,WB,Committed,,,GREMLINS2B,Yes,Max OP,2025,,,11/3/23,0,Tiffany,Secrets of the Mogwai
5092,MAX-OP-000896,,,,,,,Gremlins: Secrets of the Mogwai S3 / TBD Series,Kids Content Original,WB,Uncommitted,,,GREMLINS3,Yes,Max OP,2025,,,11/3/23,0,Tiffany,Secrets of the Mogwai
5093,MAX-AQ-001134,,,,,,,Greystoke: The Legend of Tarzan,Movies Acquired,WB,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Tiffany,The Legend of Tarzan
