,content_category,days_on_hbo_max,monthly_average_hours_viewed,monthly_average_hours_viewed_60d,target
42,movies,301,0.00020118428536372094,0.00037452373132079784,0.5371736649483415
43,movies,308,0.00021172765745449597,0.00037452373132079784,0.565325077553339
44,movies,315,0.0002177203371691196,0.00037452373132079784,0.5813258786066924
45,movies,322,0.00020899633376821674,0.00037452373132079784,0.5580322855141086
46,movies,329,0.0002253985622347794,0.00037452373132079784,0.6018271831263866
47,movies,336,0.00018516169319181223,0.00037452373132079784,0.4943924181755313
48,movies,343,0.00018194315290728384,0.00037452373132079784,0.4857987296709929
49,movies,350,0.00017866745879575296,0.00037452373132079784,0.4770524371464076
50,movies,357,0.00018349567332309058,0.00037452373132079784,0.48994404887501664
51,movies,364,0.00018724610125652946,0.00037452373132079784,0.49995790813091107
52,series,7,0.0017449148873768848,0.0003902523745580508,4.4712473289956245
53,series,14,0.0012216589097061392,0.0003902523745580508,3.130432995032078
54,series,21,0.0009685318737181096,0.0003902523745580508,2.4818090468121894
55,series,28,0.000785709430278064,0.0003902523745580508,2.0133367059402434
56,series,35,0.0006603034889189326,0.0003902523745580508,1.6919909575610055
57,series,42,0.0006283068848628714,0.0003902523745580508,1.6100014396437952
58,series,49,0.0005368460435324302,0.0003902523745580508,1.3756381217164722
59,series,56,0.00046488215578408535,0.0003902523745580508,1.1912346627244754
60,series,63,0.0003902523745580508,0.0003902523745580508,1.0
61,series,70,0.0003499043676513227,0.0003902523745580508,0.896610476867896
62,series,77,0.000291477755553289,0.0003902523745580508,0.7468955336489083
63,series,84,0.0002671445641182945,0.0003902523745580508,0.6845430842562528
64,series,91,0.0002422700524088717,0.0003902523745580508,0.6208035317741124
65,series,98,0.00022976173640828934,0.0003902523745580508,0.5887516678623357
66,series,105,0.00021765173126052798,0.0003902523745580508,0.5577204533528133
67,series,112,0.00020920917056155988,0.0003902523745580508,0.5360868612227742
68,series,119,0.00019673530505498238,0.0003902523745580508,0.5041232747853982
69,series,126,0.000186286648088654,0.0003902523745580508,0.47734917256972
70,series,133,0.0001615520847322175,0.0003902523745580508,0.41396822995675664
71,series,140,0.00015075254447496103,0.0003902523745580508,0.3862950088277715
72,series,147,0.00014822368255117138,0.0003902523745580508,0.3798149408290732
73,series,154,0.00014532721041961118,0.0003902523745580508,0.37239289212318033
74,series,161,0.0001376207735074826,0.0003902523745580508,0.3526455762462279
75,series,168,0.00013293404214665642,0.0003902523745580508,0.34063608785776195
76,series,175,0.00013304263085440194,0.0003902523745580508,0.34091434038055185
77,series,182,0.00014031800047363392,0.0003902523745580508,0.35955707029980244
78,series,189,0.0001350893817661098,0.0003902523745580508,0.34615902573070695
79,series,196,0.00013360469939520167,0.0003902523745580508,0.342354609748384
80,series,203,0.00013099316177328304,0.0003902523745580508,0.33566268987249315
81,series,210,0.00013805795782484615,0.0003902523745580508,0.35376583673883516
82,series,217,0.0001443449041400664,0.0003902523745580508,0.3698757869277098
83,series,224,0.00015642992007277361,0.0003902523745580508,0.4008429679638102
84,series,231,0.00015020730826995613,0.0003902523745580508,0.3848978713840279
85,series,238,0.00015305015079481032,0.0003902523745580508,0.39218249720616066
86,series,245,0.00014598146575819056,0.0003902523745580508,0.37406938503195586
87,series,252,0.00014178645327279197,0.0003902523745580508,0.36331989890736965
88,series,259,0.0001383007568728524,0.0003902523745580508,0.35438799579239944
89,series,266,0.0001403558662397201,0.0003902523745580508,0.35965409921891944
90,series,273,0.00013899268703715975,0.0003902523745580508,0.356161028346246
91,series,280,0.00013005705899537593,0.0003902523745580508,0.3332639785796606
92,series,287,0.00012699648500828686,0.0003902523745580508,0.32542142799798873
93,series,294,0.00013090501047967234,0.0003902523745580508,0.33543680708648693
94,series,301,0.00012495376305606093,0.0003902523745580508,0.32018706663237434
95,series,308,0.0001228844793018904,0.0003902523745580508,0.31488464212691447
96,series,315,0.00011542346298941345,0.0003902523745580508,0.2957662028837802
97,series,322,0.00011570250658886169,0.0003902523745580508,0.2964812365841241
98,series,329,0.00011777758918227454,0.0003902523745580508,0.3017985202925521
99,series,336,0.00011739051988322607,0.0003902523745580508,0.3008066767464704
100,series,343,0.00011229352530932684,0.0003902523745580508,0.28774591169751607
101,series,350,0.00010618622289318904,0.0003902523745580508,0.27209628900641997
102,series,357,0.00010855776567975559,0.0003902523745580508,0.27817323546767403
103,series,364,0.00010916475991734749,0.0003902523745580508,0.27972862443431207
